iter	RMSE
0	14.07705415
1	13.18565133
2	12.38335788
3	11.67318848
4	11.0206759
5	10.50059389
6	9.932302818
7	9.432785861
8	9.070965455
9	8.657962538
10	8.274136363
11	7.952775894
12	7.676508687
13	7.432224013
14	7.181302276
15	6.993238971
16	6.794529104
17	6.629046016
18	6.493632453
19	6.35073055
20	6.237515269
21	6.141343505
22	6.048381138
23	5.966337435
24	5.881756528
25	5.834590521
26	5.758463089
27	5.700267536
28	5.657645915
29	5.607633251
30	5.556896585
31	5.519386187
32	5.477953443
33	5.447567938
34	5.408540198
35	5.377745067
36	5.350244122
37	5.325329488
38	5.303459693
39	5.279824723
40	5.263403496
41	5.247983467
42	5.230333371
43	5.211045891
44	5.19593799
45	5.182941504
46	5.151630475
47	5.138094222
48	5.118729338
49	5.101172151
50	5.087284231
51	5.076994168
52	5.075133275
53	5.057063778
54	5.043929887
55	5.031032405
56	5.020509939
57	5.003265749
58	4.99463525
59	4.988249579
60	4.977526259
61	4.967683837
62	4.952156524
63	4.93947378
64	4.933025062
65	4.925544177
66	4.916513031
67	4.910322113
68	4.900922786
69	4.891331038
70	4.875348969
71	4.870336593
72	4.857520539
73	4.842581406
74	4.831409598
75	4.821312657
76	4.809284628
77	4.799540049
78	4.78958201
79	4.783233667
80	4.770350536
81	4.765222233
82	4.756631476
83	4.749554692
84	4.737778479
85	4.729455296
86	4.720462637
87	4.716138118
88	4.707409412
89	4.69348277
90	4.684397618
91	4.681200843
92	4.676236276
93	4.672294362
94	4.661657716
95	4.655133209
96	4.640789249
97	4.6332021
98	4.623355713
99	4.614004739
