iter	Passed	Remaining
0	0	69
1	1	64
2	1	62
3	2	61
4	3	60
5	3	59
6	4	58
7	4	57
8	5	56
9	6	54
10	6	53
11	7	52
12	7	51
13	8	50
14	8	49
15	9	48
16	9	47
17	10	46
18	10	45
19	11	44
20	11	44
21	12	43
22	12	42
23	13	41
24	13	41
25	14	40
26	14	39
27	15	39
28	15	38
29	16	37
30	16	37
31	17	36
32	17	36
33	18	35
34	18	35
35	19	34
36	19	33
37	20	33
38	20	32
39	21	32
40	21	31
41	22	31
42	22	30
43	23	29
44	24	29
45	24	28
46	25	28
47	25	27
48	26	27
49	26	26
50	27	26
51	27	25
52	28	24
53	28	24
54	29	23
55	29	23
56	30	22
57	30	22
58	31	21
59	31	21
60	32	20
61	32	20
62	33	19
63	33	19
64	34	18
65	35	18
66	35	17
67	36	16
68	36	16
69	37	15
70	37	15
71	38	14
72	38	14
73	39	13
74	39	13
75	40	12
76	40	12
77	41	11
78	41	11
79	42	10
80	42	10
81	43	9
82	43	8
83	44	8
84	44	7
85	45	7
86	45	6
87	46	6
88	47	5
89	47	5
90	48	4
91	48	4
92	49	3
93	49	3
94	50	2
95	50	2
96	51	1
97	51	1
98	52	0
99	52	0
