iter	Passed	Remaining
0	9	9932
1	10	5486
2	11	3894
3	12	3101
4	13	2632
5	14	2451
6	15	2192
7	16	1992
8	16	1867
9	17	1749
10	18	1638
11	18	1544
12	19	1465
13	19	1396
14	20	1337
15	20	1287
16	21	1248
17	22	1211
18	22	1175
19	23	1140
20	23	1109
21	24	1081
22	24	1056
23	25	1032
24	26	1018
25	26	1000
26	27	985
27	28	972
28	29	987
29	30	976
30	30	965
31	31	954
32	32	955
33	33	945
34	33	936
35	34	927
36	35	919
37	36	912
38	36	905
39	37	896
40	38	889
41	38	881
42	39	874
43	39	867
44	40	860
45	41	856
46	42	866
47	43	869
48	44	863
49	45	856
50	45	854
51	46	850
52	47	844
53	47	838
54	48	832
55	49	828
56	49	823
57	50	818
58	50	813
59	51	808
60	52	803
61	52	799
62	53	795
63	54	792
64	54	790
65	55	786
66	56	784
67	57	785
68	58	783
69	58	780
70	59	776
71	60	773
72	60	769
73	61	767
74	61	764
75	62	762
76	63	762
77	64	760
78	65	758
79	65	757
80	66	755
81	67	754
82	68	751
83	68	748
84	69	746
85	69	743
86	70	740
87	71	741
88	72	743
89	73	743
90	74	741
91	75	741
92	75	739
93	76	736
94	77	734
95	77	731
96	78	727
97	78	722
98	79	721
99	79	719
100	80	717
101	81	714
102	81	712
103	82	710
104	83	708
105	83	706
106	84	705
107	85	703
108	85	702
109	86	700
110	87	700
111	88	699
112	88	697
113	89	695
114	90	693
115	90	691
116	91	688
117	91	686
118	92	685
119	93	684
120	93	681
121	94	679
122	95	677
123	95	675
124	96	673
125	97	673
126	97	671
127	98	669
128	98	667
129	99	666
130	100	663
131	100	661
132	101	660
133	101	658
134	102	659
135	103	659
136	104	658
137	105	656
138	105	654
139	106	652
140	106	651
141	107	650
142	108	648
143	108	647
144	109	647
145	110	646
146	111	645
147	112	646
148	113	645
149	113	644
150	114	641
151	114	639
152	115	638
153	115	637
154	116	636
155	117	635
156	118	634
157	118	633
158	119	633
159	120	632
160	121	630
161	121	629
162	122	629
163	123	628
164	124	627
165	124	627
166	125	625
167	126	624
168	126	622
169	127	621
170	127	620
171	128	619
172	129	618
173	130	619
174	131	618
175	132	620
176	133	619
177	133	618
178	134	618
179	135	617
180	136	616
181	136	615
182	138	616
183	138	615
184	139	613
185	140	612
186	140	611
187	141	610
188	141	609
189	142	607
190	143	606
191	143	604
192	144	603
193	145	603
194	145	602
195	146	600
196	147	600
197	147	599
198	148	598
199	149	597
200	149	596
201	150	594
202	151	593
203	151	592
204	152	591
205	153	589
206	153	588
207	154	587
208	154	586
209	155	585
210	156	583
211	156	582
212	157	581
213	157	580
214	158	579
215	159	577
216	159	576
217	160	575
218	161	574
219	161	573
220	162	573
221	163	573
222	164	572
223	164	571
224	165	570
225	166	569
226	167	568
227	167	567
228	168	566
229	168	565
230	169	564
231	170	563
232	170	562
233	171	562
234	172	561
235	173	560
236	173	560
237	174	559
238	175	558
239	175	557
240	176	556
241	177	556
242	178	555
243	179	555
244	179	554
245	180	553
246	181	552
247	181	550
248	182	549
249	182	547
250	183	546
251	183	545
252	184	543
253	184	542
254	185	540
255	185	539
256	186	538
257	186	537
258	187	536
259	188	535
260	188	533
261	189	532
262	189	531
263	190	530
264	190	528
265	191	527
266	191	526
267	192	525
268	193	524
269	194	524
270	194	523
271	195	522
272	195	521
273	196	520
274	196	519
275	197	517
276	197	516
277	198	515
278	198	514
279	199	512
280	199	511
281	200	510
282	201	509
283	202	509
284	203	510
285	204	509
286	204	508
287	205	507
288	205	506
289	206	505
290	207	504
291	207	503
292	208	502
293	209	502
294	209	501
295	210	500
296	211	500
297	212	499
298	212	498
299	213	497
300	213	496
301	214	495
302	214	494
303	215	493
304	215	491
305	216	490
306	217	489
307	217	488
308	218	487
309	218	486
310	219	485
311	219	484
312	220	483
313	220	482
314	221	481
315	222	480
316	222	479
317	223	478
318	223	477
319	225	478
320	225	477
321	226	476
322	226	475
323	227	474
324	228	473
325	228	472
326	229	471
327	229	470
328	230	469
329	230	468
330	231	467
331	231	466
332	232	465
333	232	464
334	233	463
335	233	462
336	234	461
337	235	460
338	235	460
339	236	459
340	237	458
341	237	457
342	238	456
343	239	455
344	239	455
345	240	454
346	241	453
347	241	453
348	242	453
349	243	452
350	244	451
351	244	450
352	245	449
353	245	448
354	246	448
355	247	447
356	247	446
357	248	445
358	249	444
359	249	443
360	250	442
361	250	441
362	251	441
363	251	440
364	252	439
365	253	439
366	254	438
367	255	438
368	255	437
369	256	436
370	257	435
371	257	435
372	258	434
373	259	433
374	259	432
375	260	431
376	260	430
377	261	430
378	262	429
379	262	428
380	263	427
381	263	426
382	264	425
383	264	425
384	265	424
385	266	423
386	266	422
387	267	421
388	267	420
389	268	420
390	269	419
391	270	419
392	270	418
393	271	417
394	272	416
395	272	415
396	273	414
397	273	413
398	274	413
399	274	412
400	275	411
401	276	410
402	276	409
403	277	408
404	277	407
405	278	407
406	278	406
407	279	405
408	280	404
409	280	403
410	281	403
411	281	402
412	282	401
413	283	401
414	284	400
415	285	400
416	286	399
417	286	399
418	287	398
419	288	397
420	288	397
421	289	396
422	289	395
423	290	394
424	291	394
425	291	393
426	292	392
427	292	391
428	293	390
429	294	390
430	294	389
431	295	388
432	295	387
433	296	386
434	297	386
435	297	385
436	298	384
437	299	384
438	300	384
439	301	383
440	301	382
441	302	382
442	303	381
443	303	380
444	304	379
445	304	378
446	305	377
447	305	376
448	306	376
449	307	375
450	307	374
451	308	373
452	308	372
453	309	372
454	309	371
455	310	370
456	311	369
457	311	368
458	312	368
459	313	367
460	314	367
461	314	366
462	315	366
463	316	365
464	316	364
465	317	363
466	318	363
467	318	362
468	319	361
469	319	360
470	320	360
471	321	359
472	321	358
473	322	357
474	322	356
475	323	356
476	324	355
477	324	354
478	325	353
479	326	353
480	326	352
481	327	351
482	327	350
483	328	350
484	329	349
485	330	349
486	330	348
487	331	347
488	332	347
489	332	346
490	333	345
491	334	345
492	335	344
493	335	344
494	336	343
495	337	342
496	337	341
497	338	341
498	338	340
499	339	339
500	340	338
501	340	338
502	341	337
503	342	336
504	342	335
505	343	334
506	343	334
507	344	333
508	345	333
509	346	332
510	346	331
511	347	331
512	348	330
513	348	329
514	349	329
515	350	328
516	350	327
517	351	327
518	352	326
519	352	325
520	353	324
521	353	324
522	354	323
523	355	322
524	355	321
525	356	321
526	357	320
527	357	319
528	358	318
529	359	318
530	359	317
531	360	317
532	361	316
533	362	315
534	362	315
535	363	314
536	363	313
537	364	313
538	365	312
539	365	311
540	366	310
541	367	310
542	367	309
543	368	308
544	368	308
545	369	307
546	370	306
547	370	305
548	371	305
549	371	304
550	372	303
551	373	302
552	373	302
553	374	301
554	375	301
555	376	300
556	377	300
557	377	299
558	378	298
559	379	297
560	379	297
561	380	296
562	381	295
563	381	295
564	382	294
565	383	293
566	383	292
567	384	292
568	384	291
569	385	290
570	385	289
571	386	289
572	387	288
573	387	287
574	388	287
575	389	286
576	389	285
577	391	285
578	391	284
579	392	284
580	393	283
581	393	282
582	394	282
583	395	281
584	395	280
585	396	280
586	397	279
587	397	278
588	398	277
589	398	277
590	399	276
591	400	275
592	400	275
593	401	274
594	402	273
595	402	272
596	403	272
597	403	271
598	404	270
599	405	270
600	406	269
601	407	269
602	407	268
603	408	267
604	408	266
605	409	266
606	410	265
607	410	264
608	411	264
609	411	263
610	412	262
611	413	261
612	413	261
613	414	260
614	414	259
615	415	258
616	415	258
617	416	257
618	417	256
619	418	256
620	418	255
621	419	255
622	420	254
623	422	254
624	422	253
625	423	253
626	424	252
627	425	251
628	425	251
629	426	250
630	427	249
631	427	249
632	428	248
633	429	247
634	429	247
635	430	246
636	431	245
637	431	244
638	432	244
639	432	243
640	433	242
641	434	242
642	435	241
643	436	241
644	437	240
645	437	239
646	438	239
647	439	238
648	439	237
649	440	237
650	440	236
651	441	235
652	442	234
653	442	234
654	443	233
655	443	232
656	444	231
657	444	231
658	445	230
659	445	229
660	446	228
661	446	228
662	447	227
663	447	226
664	448	225
665	448	225
666	449	224
667	450	223
668	451	223
669	451	222
670	452	221
671	452	221
672	453	220
673	453	219
674	454	218
675	455	218
676	455	217
